Status,,,,
,Manhwa Name,Chapters,Status,Link 
,Talent Swallowing Magician,135,ONGOING,https://mangafire.to/manga/jaeneung-samkin-mabeopsaa.xjzjv
,Build up,216,ONGOING,https://mangafire.to/manga/build-upp.37522
,Bloodhound regression instinct,91,ONGOING,https://mangafire.to/manga/the-returning-instinct-of-a-houndd.xvzww
,Levelling Up With The Gods,166,ONGOING,https://comix.to/title/klx9y-level-up-with-the-gods
,Archmage Ascending Through Regression,194,ONGOING,https://mangafire.to/manga/hoegwiro-chowolhaneun-daemadosa22.oo25z
,Infinite Gacha/Pick Me Up,195,ONGOING,https://mangafire.to/manga/pick-me-upp.372pr
,Nano Machine,306,ONGOING,https://mangafire.to/manga/nano-machinee.m2y8v
,The Beginning After the End,229,ONGOING,https://mangafire.to/manga/the-beginning-after-the-endd.6v55p
,Solo Max Level Newbie,254,ONGOING,https://mangafire.to/manga/im-the-max-level-newbiee.z1my2
,The Max Level Hero Strikes Back,229,ONGOING,https://mangafire.to/manga/the-max-level-hero-has-returnedd.6lnj7
,Return of Disaster Hero,172,ONGOING,https://mangafire.to/manga/the-return-of-the-disaster-class-heroo.9o4zx
,SSS-Class Suicide Hunter,151,ONGOING,https://mangafire.to/manga/sss-class-suicide-hunterr.krq9
,Dark Magician After 66666 Years,177,ONGOING,https://mangafire.to/manga/66666-nyeonmane-hwansaenghan-heungmabeopsaa.80j6o
,Return of Spear Knight,190,ONGOING,https://mangafire.to/manga/return-of-the-legendary-spear-knightt.80zmn
,Player Return After 10000 Years,151,ONGOING,https://mangafire.to/manga/player-who-returned-10000-years-laterr.1nk3q
,Magic Emperor,843,ONGOING,https://mangafire.to/manga/mo-huang-da-guanjiaa.ykp3x
,Return of SSS Class Ranker,187,ONGOING,https://mangafire.to/manga/sss-geup-ranker-hoegwihadaa.5kl8m
,Standard of Reincarnation,176,ONGOING,https://mangafire.to/manga/the-art-of-reincarnationn.rwq8q
,Reality Quest,199,ONGOING,https://mangafire.to/manga/reality-questt.qx40n
,Youngest Scion of Mage Family,123,ONGOING,https://mangafire.to/manga/youngest-son-of-the-renowned-magic-clann.37j72
,I Obtained a Mythic Item,172,ONGOING,https://mangafire.to/manga/i-obtained-a-mythic-itemm.8035n
,Infinite Mage,162,ONGOING,https://mangafire.to/manga/muhanui-mabeopsaa.kkym4
,World After the End,230,ONGOING,https://mangafire.to/manga/the-world-after-the-falll.zllnm
,Great Estate Developer,222,ONGOING,https://mangafire.to/manga/the-greatest-estate-developerr.oo5jy
,Helmut the Forsaken Child,129,ONGOING,https://mangafire.to/manga/helmut-the-forsaken-childd.5k4mm
,Lord's Coins Are Not Decreasing,202,ONGOING,https://mangafire.to/manga/does-the-lords-coin-not-shrinkk.jjkp8
